"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"1131","45.419155954","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3156, FN=0, Flags=...P...TC","","Null function (No data)"
"1135","45.483218514","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3157, FN=0, Flags=.......TC","","Null function (No data)"
"1137","45.487278907","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","120","QoS Data, SN=142, FN=0, Flags=.p..R..TC","Voice (Voice)","QoS Data"
"1143","45.669668458","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3158, FN=0, Flags=...P...TC","","Null function (No data)"
"1146","45.697604557","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3159, FN=0, Flags=.......TC","","Null function (No data)"
"1151","45.979605079","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3160, FN=0, Flags=...P...TC","","Null function (No data)"
"1207","49.408710604","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2426, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"1213","49.467484411","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2428, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"1214","49.471303515","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=1045, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"1217","49.478418405","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2429, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"1218","49.478457087","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=1046, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"1220","49.488536702","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2430, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"1222","49.562523767","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3161, FN=0, Flags=.......TC","","Null function (No data)"
"1224","49.571445838","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3162, FN=0, Flags=...P...TC","","Null function (No data)"
