"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"146546","624.835043916","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=3607, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146569","624.851573581","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","160","QoS Data, SN=3608, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146579","624.851711681","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3609, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146592","624.858595172","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3610, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146600","624.861350766","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3611, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146614","624.864871590","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3612, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146629","624.871169669","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3613, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146634","624.874956995","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3614, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146640","624.877716847","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3615, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146651","624.884651493","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3616, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146669","624.887499330","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3617, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146680","624.894082559","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3618, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146684","624.897298298","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3619, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146687","624.900553212","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3619, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"146695","624.907130410","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3620, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146700","624.910753453","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3621, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146702","624.910791158","","aa:3a:0e:b6:ed:12","802.11","2687","QoS Data, SN=1392, FN=0, Flags=.p....F.C","Best Effort (Best Effort)","QoS Data"
"146703","624.910809685","","aa:3a:0e:b6:ed:12","802.11","2687","QoS Data, SN=1393, FN=0, Flags=.p....F.C","Best Effort (Best Effort)","QoS Data"
"146704","624.913571067","","aa:3a:0e:b6:ed:12","802.11","2687","QoS Data, SN=1394, FN=0, Flags=.p....F.C","Best Effort (Best Effort)","QoS Data"
"146710","624.920303779","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3622, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146712","624.920337133","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3623, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146726","624.926896942","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3624, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146738","624.939715463","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3625, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146754","624.946229682","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","157","QoS Data, SN=3626, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146783","624.969121734","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=3627, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146787","624.977918394","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","185","QoS Data, SN=3628, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146827","625.010797158","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3629, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146851","625.028029646","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3630, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146859","625.028053379","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3631, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146924","625.057534263","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3632, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146926","625.057559243","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3633, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146933","625.067036655","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3634, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146937","625.067091687","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3635, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146962","625.093429354","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1739, FN=0, Flags=...P...TC","","Null function (No data)"
"147017","625.143676479","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1740, FN=0, Flags=.......TC","","Null function (No data)"
"147027","625.147572560","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","221","QoS Data, SN=3636, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147028","625.147586363","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","245","QoS Data, SN=3637, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147029","625.147601458","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","532","QoS Data, SN=3638, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147030","625.147615631","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","543","QoS Data, SN=3639, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147047","625.153524869","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","543","QoS Data, SN=3640, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147069","625.179355646","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","849","QoS Data, SN=3641, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147071","625.179391215","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1369","QoS Data, SN=3642, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147072","625.179406282","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","472","QoS Data, SN=3643, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147077","625.188399244","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3644, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147081","625.188456111","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3645, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147085","625.188503551","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","178","QoS Data, SN=3646, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147139","625.231004329","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3647, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147147","625.231098317","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3648, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147152","625.231138165","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","186","QoS Data, SN=3649, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147164","625.234233894","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","156","QoS Data, SN=3650, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147206","625.267394288","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3651, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"147621","625.664820101","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1741, FN=0, Flags=...P...TC","","Null function (No data)"
"148381","626.998688711","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1742, FN=0, Flags=.......TC","","Null function (No data)"
"148383","626.998741223","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","72","Action, SN=183, FN=0, Flags=........C","","Action"
"148386","626.998781080","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","72","Action, SN=1743, FN=0, Flags=........C","","Action"
"148409","627.095137386","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1744, FN=0, Flags=.......TC","","Null function (No data)"
"148474","627.266168312","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1745, FN=0, Flags=...P...TC","","Null function (No data)"
"148480","627.295694419","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1746, FN=0, Flags=.......TC","","Null function (No data)"
"148537","627.401383906","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1747, FN=0, Flags=...P...TC","","Null function (No data)"
"149013","628.634703526","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1748, FN=0, Flags=.......TC","","Null function (No data)"
"149029","628.641358989","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3652, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"149034","628.644559793","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3652, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
