sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
89,93226,190.737984415,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,165,"QoS Data, SN=332, FN=0, Flags=.p.....TC",162.97222222222223,113.39920634920638,0.6412441129999991,0.04271424922222246,0.022144432909696102,36,36
90,93875,192.388776661,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=340, FN=0, Flags=.p.....TC",157.64285714285714,417.0164835164834,0.7543233869999995,0.1642155675000002,0.06942904381804929,14,14
91,94758,194.340011679,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,154,"QoS Data, SN=345, FN=0, Flags=.p.....TC",240.49425287356323,64720.508687516674,0.4065404600000022,0.026557719931034448,0.007195812663088599,87,87
92,96337,196.247275093,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=400, FN=0, Flags=.p.....TC",390.82608695652175,99722.10241545894,0.0032822400000043217,0.03249593106521702,0.01108074255800126,46,46
93,98044,198.550600889,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,321,"QoS Data, SN=417, FN=0, Flags=.p.....TC",927.4,345099.8,0.8117952070000172,0.4824500322000006,0.32098520142683135,5,5
94,99319,200.451674832,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,161,"QoS Data, SN=420, FN=0, Flags=.p.....TC",162.20689655172413,4.098522167487703,0.3006189890000144,0.07103363772413841,0.017285857733085126,29,29
95,101247,202.311061259,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,164,"QoS Data, SN=432, FN=0, Flags=.p.....TC",357.6236559139785,186914.95465170647,0.10002992200000449,0.02118331107526874,0.002196202552697231,93,93
96,104099,204.448728229,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,163,"QoS Data, SN=486, FN=0, Flags=.p.....TC",530.9873417721519,313390.3972736125,0.26764896200000976,0.023735005215189845,0.002076427390021693,79,79
97,106483,206.500721374,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1370,"QoS Data, SN=519, FN=0, Flags=.p..R..TC",1370.0,,0.44457669499999497,0.44457669499999497,,1,1
103,107340,218.77349476,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,261,"QoS Data, SN=171, FN=0, Flags=.p..R..TC",196.36363636363637,4791.654545454547,12.272773386000011,1.1403249282727266,13.63864271569118,11,11
105,107756,223.18024906,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1048, FN=0, Flags=.p.....TC",801.2872340425532,598676.3789750626,4.135953475000008,0.052166554627659636,0.18208821103973727,94,86
106,108062,224.391522306,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1215, FN=0, Flags=.p.....TC",193.94117647058823,36706.038883349946,0.4435705860000212,0.018986886722689084,0.003861814881824555,119,119
107,108905,226.462354256,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,153,"QoS Data, SN=1301, FN=0, Flags=.p.....TC",313.15441176470586,361779.3019063181,0.2549630160000049,0.014872696647058807,0.002549323066142513,136,128
108,109869,228.253019908,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,156,"QoS Data, SN=1363, FN=0, Flags=.p.....TC",876.9565217391304,506045.0969899663,0.022941924000008385,0.018099682521739106,0.004041539244833989,92,87
109,110761,230.362292037,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,158,"QoS Data, SN=191, FN=0, Flags=.p.....TC",623.9906976744186,847539.6728102586,0.4670432610000148,0.010780400651162836,0.0022561402366510054,215,177
110,112430,233.220230352,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=292, FN=0, Flags=.p..R..TC",1032.0555555555557,234898.1732026144,1.0071954359999893,0.1030191713888892,0.07701460342632853,18,18
111,113350,234.94978757,aa:3a:0e:b6:ed:12,IPv4mcast_fb,802.11,216,"QoS Data, SN=1383, FN=0, Flags=.p.....TC",182.0,867.0,0.8824075690000086,0.6834301706666679,0.3408176855363702,3,3
112,114380,236.721303602,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=1384, FN=0, Flags=.p.....TC",155.0,0.0,0.6036330889999988,0.09610716694444459,0.05709536348861669,18,18
113,115269,238.76905181,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1388, FN=0, Flags=.p.....TC",335.0416666666667,173259.06205673766,0.9214522919999979,0.04696512681249961,0.028532854188636415,48,48
